,Start Time,End Time,Trip Duration,Start Station,End Station,User Type,Gender,Birth Year
1042057,2017-05-31 18:01:51,2017-05-31 19:09:47,4076,Broadway & Granville Ave,Broadway & Granville Ave,Customer,,
550234,2017-04-15 15:38:36,2017-04-15 16:01:15,1359,Ashland Ave & Augusta Blvd,McClurg Ct & Illinois St,Subscriber,Female,1988.0
392242,2017-03-24 09:59:29,2017-03-24 10:03:48,259,Calumet Ave & 33rd St,State St & 33rd St,Subscriber,Female,1988.0
762264,2017-05-08 15:57:07,2017-05-08 16:18:31,1284,LaSalle St & Jackson Blvd,Damen Ave & Grand Ave,Subscriber,Male,1978.0
996197,2017-05-28 18:44:14,2017-05-28 19:05:11,1257,Wilton Ave & Belmont Ave,California Ave & Fletcher St,Customer,,
66352,2017-01-21 14:54:35,2017-01-21 15:05:53,678,Theater on the Lake,Greenview Ave & Fullerton Ave,Subscriber,Male,1996.0
458862,2017-04-05 18:39:27,2017-04-05 18:47:29,482,Wood St & Taylor St,May St & Taylor St,Subscriber,Male,1981.0
1380841,2017-06-21 01:57:19,2017-06-21 02:16:20,1141,Wells St & Walton St,State St & Van Buren St,Subscriber,Male,1963.0
1178599,2017-06-08 17:32:43,2017-06-08 17:44:18,695,Canal St & Adams St,Carpenter St & Huron St,Subscriber,Male,1969.0
428198,2017-03-31 10:52:23,2017-03-31 10:54:27,124,LaSalle St & Illinois St,LaSalle St & Illinois St,Subscriber,Male,1964.0
576059,2017-04-17 17:13:41,2017-04-17 17:18:55,314,California Ave & North Ave,California Ave & Milwaukee Ave,Subscriber,Male,1986.0
110936,2017-01-31 18:12:25,2017-01-31 18:17:03,278,Wells St & Concord Ln,Clark St & Schiller St,Subscriber,Male,1994.0
933755,2017-05-23 13:56:30,2017-05-23 14:10:44,854,Theater on the Lake,Sheffield Ave & Waveland Ave,Subscriber,Female,1980.0
462700,2017-04-06 16:42:37,2017-04-06 16:50:35,478,State St & Pearson St,McClurg Ct & Erie St,Subscriber,Male,1986.0
1386605,2017-06-21 11:47:26,2017-06-21 11:52:18,292,Halsted St & Dickens Ave,Dayton St & North Ave,Subscriber,Male,1992.0
1101724,2017-06-04 08:51:39,2017-06-04 08:58:36,417,Wilton Ave & Diversey Pkwy,Hampden Ct & Diversey Pkwy,Subscriber,Female,1989.0
1464149,2017-06-25 16:10:58,2017-06-25 16:36:09,1511,Lake Shore Dr & Belmont Ave,Michigan Ave & Oak St,Subscriber,Male,1987.0
1382847,2017-06-21 07:51:39,2017-06-21 08:00:21,522,Clifton Ave & Lawrence Ave,Marine Dr & Ainslie St,Subscriber,Male,1985.0
147830,2017-02-09 11:14:56,2017-02-09 11:21:25,389,Harper Ave & 59th St,University Ave & 57th St,Subscriber,Male,1989.0
1171109,2017-06-08 10:53:25,2017-06-08 10:56:38,193,Marion St & South Blvd,Wisconsin Ave & Madison St,Subscriber,Male,1995.0
914635,2017-05-21 19:51:31,2017-05-21 20:05:45,854,Burnham Harbor,Fort Dearborn Dr & 31st St,Subscriber,Male,1990.0
209749,2017-02-19 09:24:06,2017-02-19 09:26:27,141,California Ave & North Ave,Campbell Ave & North Ave,Subscriber,Female,1982.0
1407466,2017-06-22 14:54:21,2017-06-22 15:01:59,458,Field Blvd & South Water St,Millennium Park,Subscriber,Male,1974.0
605558,2017-04-20 14:15:28,2017-04-20 14:32:22,1014,Michigan Ave & 14th St,LaSalle St & Washington St,Subscriber,Male,1979.0
1534212,2017-06-29 22:08:13,2017-06-29 22:11:51,218,Stetson Ave & South Water St,Michigan Ave & Madison St,Subscriber,Male,1980.0
1091721,2017-06-03 15:51:30,2017-06-03 16:07:43,973,Millennium Park,Streeter Dr & Grand Ave,Customer,,
763760,2017-05-08 17:18:57,2017-05-08 17:23:14,257,Broadway & Argyle St,Clark St & Winnemac Ave,Subscriber,Male,1984.0
85386,2017-01-25 08:10:58,2017-01-25 08:17:34,396,Ashland Ave & Augusta Blvd,Ogden Ave & Chicago Ave,Subscriber,Male,1992.0
804254,2017-05-12 17:25:53,2017-05-12 17:29:08,195,Sheffield Ave & Waveland Ave,Southport Ave & Waveland Ave,Subscriber,Male,1964.0
341961,2017-03-14 11:19:02,2017-03-14 11:23:31,269,Clark St & Columbia Ave,Glenwood Ave & Morse Ave,Subscriber,Male,1954.0
400815,2017-03-25 14:49:16,2017-03-25 14:55:06,350,Marshfield Ave & Cortland St,Southport Ave & Clybourn Ave,Subscriber,Female,1987.0
426420,2017-03-30 21:11:56,2017-03-30 21:18:56,420,Halsted St & Polk St,Morgan Ave & 14th Pl,Subscriber,Male,1994.0
663190,2017-04-25 17:07:51,2017-04-25 17:10:13,142,Ellis Ave & 58th St,Ellis Ave & 60th St,Subscriber,Male,1989.0
1087360,2017-06-03 13:02:14,2017-06-03 13:06:51,277,Ellis Ave & 60th St,University Ave & 57th St,Subscriber,Female,1976.0
1112347,2017-06-04 17:32:14,2017-06-04 17:36:22,248,Racine Ave & Belmont Ave,Lincoln Ave & Diversey Pkwy,Subscriber,Male,1976.0
768279,2017-05-09 09:19:39,2017-05-09 09:29:04,565,Halsted St & Maxwell St,Financial Pl & Congress Pkwy,Subscriber,Male,1983.0
97962,2017-01-27 18:19:20,2017-01-27 18:22:52,212,Sheffield Ave & Fullerton Ave,Racine Ave & Wrightwood Ave,Subscriber,Male,1981.0
800780,2017-05-12 14:42:37,2017-05-12 15:10:15,1658,Daley Center Plaza,Dearborn St & Monroe St,Subscriber,Male,1985.0
1369862,2017-06-20 12:17:37,2017-06-20 12:23:37,360,Rush St & Hubbard St,McClurg Ct & Illinois St,Subscriber,Male,1990.0
593055,2017-04-19 07:18:23,2017-04-19 07:31:31,788,Lake Shore Dr & Ohio St,Milwaukee Ave & Grand Ave,Subscriber,Male,1987.0
694210,2017-04-28 17:16:29,2017-04-28 17:27:37,668,State St & Pearson St,Clinton St & Madison St,Subscriber,Male,1960.0
1382633,2017-06-21 07:44:48,2017-06-21 07:53:49,541,Canal St & Monroe St (*),State St & Van Buren St,Subscriber,Male,1959.0
314738,2017-03-07 18:12:20,2017-03-07 18:29:48,1048,Leavitt St & Armitage Ave,Sedgwick St & Webster Ave,Customer,,
1260359,2017-06-13 11:11:54,2017-06-13 11:19:22,448,Indiana Ave & Roosevelt Rd,Field Museum,Subscriber,Male,1994.0
939388,2017-05-24 09:55:44,2017-05-24 10:02:05,381,Canal St & Adams St,Daley Center Plaza,Subscriber,Male,1983.0
208462,2017-02-18 20:08:03,2017-02-18 20:47:34,2371,Ashland Ave & 13th St,Wentworth Ave & 24th St,Customer,,
904235,2017-05-20 20:36:15,2017-05-20 21:02:55,1600,Burnham Harbor,Shore Dr & 55th St,Subscriber,Male,1997.0
757850,2017-05-08 07:41:19,2017-05-08 07:44:11,172,Halsted St & Wrightwood Ave,Sheffield Ave & Fullerton Ave,Subscriber,Female,1997.0
391381,2017-03-24 08:31:13,2017-03-24 08:39:22,489,Halsted St & Roscoe St,Southport Ave & Waveland Ave,Subscriber,Male,1977.0
108722,2017-01-31 11:52:16,2017-01-31 11:57:17,301,Wabash Ave & Adams St,Clark St & Congress Pkwy,Subscriber,Male,1991.0
808115,2017-05-13 07:41:02,2017-05-13 07:45:07,245,Calumet Ave & 33rd St,Wentworth Ave & 33rd St,Subscriber,Male,1985.0
