,Start Time,End Time,Trip Duration,Start Station,End Station,User Type,Gender,Birth Year
6780236,2017-06-30 12:46:04,2017-06-30 12:55:07,543,W 16 St & The High Line,E 17 St & Broadway,Subscriber,Male,1981.0
4251409,2017-05-15 15:29:17,2017-05-15 15:42:45,807,LaGuardia Pl & W 3 St,W 17 St & 8 Ave,Subscriber,Male,1982.0
1257757,2017-02-22 07:31:47,2017-02-22 07:35:36,229,Grand Army Plaza & Central Park S,E 48 St & 5 Ave,Subscriber,Male,1970.0
1195570,2017-02-20 10:29:10,2017-02-20 10:49:43,1232,Cherry St,Cherry St,Subscriber,Female,1984.0
5789339,2017-06-13 09:48:28,2017-06-13 10:02:41,853,E 17 St & Broadway,Cleveland Pl & Spring St,Subscriber,Male,1993.0
2563967,2017-04-09 23:07:16,2017-04-09 23:16:49,573,Sullivan St & Washington Sq,E 5 St & Avenue C,Subscriber,Male,1988.0
1860172,2017-03-13 08:50:52,2017-03-13 09:01:28,635,MacDougal St & Prince St,E 10 St & Avenue A,Subscriber,Female,1960.0
1267168,2017-02-22 10:50:36,2017-02-22 10:55:49,313,MacDougal St & Prince St,Cleveland Pl & Spring St,Subscriber,Male,1982.0
6705253,2017-06-29 08:52:06,2017-06-29 09:21:19,1753,E 47 St & Park Ave,S 4 St & Wythe Ave,Subscriber,Male,1976.0
5796462,2017-06-13 12:53:48,2017-06-13 13:24:45,1857,W 67 St & Broadway,W 70 St & Amsterdam Ave,Subscriber,Male,1963.0
1061494,2017-02-15 20:07:19,2017-02-15 20:11:53,274,W 20 St & 11 Ave,8 Ave & W 16 St,Subscriber,Male,1985.0
6783341,2017-06-30 13:42:55,2017-06-30 13:50:42,467,W Broadway & Spring St,E 2 St & Avenue B,Subscriber,Male,1979.0
3950072,2017-05-08 21:46:49,2017-05-08 21:57:30,641,W 37 St & 5 Ave,Broadway & E 22 St,Customer,,
908680,2017-02-07 15:14:02,2017-02-07 15:22:39,516,Willoughby St & Fleet St,Willoughby Ave & Hall St,Subscriber,Male,1989.0
193350,2017-01-11 15:36:55,2017-01-11 15:44:01,425,E 13 St & Avenue A,University Pl & E 14 St,Subscriber,Male,1982.0
4425299,2017-05-18 09:25:31,2017-05-18 09:33:11,460,Franklin St & W Broadway,Vesey Pl & River Terrace,Subscriber,Male,1963.0
3817681,2017-05-05 21:21:01,2017-05-05 21:28:11,430,E 30 St & Park Ave S,W 31 St & 7 Ave,Subscriber,Female,1993.0
4828453,2017-05-26 15:00:33,2017-05-26 15:14:16,823,E 30 St & Park Ave S,8 Ave & W 52 St,Subscriber,Male,1991.0
4935150,2017-05-28 17:18:47,2017-05-28 17:26:36,468,9 Ave & W 28 St,5 Ave & E 29 St,Subscriber,Male,1973.0
3612907,2017-05-01 20:35:25,2017-05-01 20:47:00,694,West St & Chambers St,Pearl St & Hanover Square,Subscriber,Male,1994.0
5056564,2017-05-31 16:36:40,2017-05-31 16:45:19,519,E 51 St & Lexington Ave,E 33 St & 5 Ave,Subscriber,Male,1995.0
2333107,2017-04-03 15:55:03,2017-04-03 15:58:04,180,W 15 St & 7 Ave,8 Ave & W 16 St,Subscriber,Male,1977.0
978449,2017-02-12 21:46:23,2017-02-12 21:55:40,557,Suffolk St & Stanton St,1 Ave & E 18 St,Subscriber,Female,1990.0
3782663,2017-05-04 18:23:35,2017-05-04 18:33:32,596,Mercer St & Bleecker St,W 20 St & 7 Ave,Subscriber,Male,1974.0
5746811,2017-06-12 16:51:04,2017-06-12 17:33:05,2521,E 89 St & 3 Ave,5 Ave & E 93 St,Subscriber,Male,1982.0
5786378,2017-06-13 09:05:42,2017-06-13 09:21:39,956,Columbia St & Rivington St,Centre St & Chambers St,Subscriber,Female,1974.0
2169288,2017-03-29 10:44:56,2017-03-29 10:49:13,256,E 31 St & 3 Ave,E 24 St & Park Ave S,Subscriber,Female,1994.0
1885299,2017-03-17 13:33:25,2017-03-17 14:01:47,1702,State St & Smith St,Broadway & E 14 St,Subscriber,Male,1984.0
2355736,2017-04-04 08:13:33,2017-04-04 08:21:26,473,Warren St & Church St,Watts St & Greenwich St,Subscriber,Male,1980.0
2597581,2017-04-10 17:34:25,2017-04-10 18:00:01,1535,W 31 St & 7 Ave,Catherine St & Monroe St,Subscriber,Male,1983.0
981931,2017-02-13 08:09:10,2017-02-13 08:24:14,903,Carmine St & 6 Ave,W 24 St & 7 Ave,Subscriber,Male,1967.0
849951,2017-02-05 11:45:11,2017-02-05 12:15:11,1799,E 20 St & 2 Ave,Washington Ave & Park Ave,Subscriber,Male,1971.0
49889,2017-01-04 10:19:24,2017-01-04 10:36:53,1048,Cambridge Pl & Gates Ave,Hope St & Union Ave,Subscriber,Female,1984.0
