,Start Time,End Time,Trip Duration,Start Station,End Station,User Type
1218251,2017-05-19 12:34:54,2017-05-19 01:10:10,2115.966,Lincoln Memorial,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,Customer
1106764,2017-05-09 10:17:40,2017-05-09 10:43:54,1573.533,15th & P St NW,14th & R St NW,Subscriber
1602703,2017-06-20 06:20:52,2017-06-20 09:49:40,12528.888,11th & Kenyon St NW,New York Ave & 15th St NW,Customer
235056,2017-02-08 19:25:00,2017-02-08 19:35:00,595.298,15th & P St NW,California St & Florida Ave NW,Subscriber
998048,2017-04-29 12:17:56,2017-04-29 12:24:34,398.293,Convention Center / 7th & M St NW,10th & U St NW,Subscriber
1106500,2017-05-09 09:52:56,2017-05-09 10:00:08,432.82800000000003,Columbia Rd & Belmont St NW,17th & K St NW,Subscriber
1272909,2017-05-24 09:29:55,2017-05-24 09:39:24,568.371,17th & K St NW,21st & I St NW,Customer
189102,2017-02-02 18:17:00,2017-02-02 18:23:00,336.06699999999995,14th St & New York Ave NW,15th & L St NW,Subscriber
627575,2017-03-29 17:16:00,2017-03-29 17:37:00,1259.233,47th & Elm St,River Rd & Landy Ln,Subscriber
1159739,2017-05-15 06:38:06,2017-05-15 06:47:36,570.263,1st & Rhode Island Ave NW,5th & K St NW,Subscriber
1257440,2017-05-23 06:25:36,2017-05-23 06:30:46,309.618,Fenton St & New York Ave ,Takoma Metro,Subscriber
797948,2017-04-13 05:54:23,2017-04-13 06:15:53,1290.094,Wilson Blvd & N Illinois St ,Arlington Blvd & Fillmore St,Subscriber
1372083,2017-06-02 06:26:41,2017-06-02 06:43:13,991.9860000000001,Metro Center / 12th & G St NW,16th & R St NW,Subscriber
1272654,2017-05-24 09:15:27,2017-05-24 09:22:39,432.561,13th & H St NE,Columbus Circle / Union Station,Subscriber
1204338,2017-05-18 11:47:45,2017-05-18 12:00:15,750.577,3rd & G St SE,Lincoln Park / 13th & East Capitol St NE ,Subscriber
732999,2017-04-08 12:06:24,2017-04-08 02:52:25,9961.312,USDA / 12th & Independence Ave SW,USDA / 12th & Independence Ave SW,Customer
941011,2017-04-25 07:38:13,2017-04-25 08:00:13,1319.7379999999998,16th & Irving St NW,Rhode Island Ave & V St NE,Subscriber
144921,2017-01-27 08:05:00,2017-01-27 08:11:00,376.216,11th & S St NW,17th & Rhode Island Ave NW,Subscriber
118325,2017-01-23 17:54:00,2017-01-23 18:08:00,864.944,17th St & Massachusetts Ave NW,16th & Harvard St NW,Subscriber
915904,2017-04-22 01:53:57,2017-04-22 02:03:43,585.589,Florida Ave & R St NW,14th & V St NW,Subscriber
1709615,2017-06-28 02:12:15,2017-06-28 02:15:30,195.372,15th & K St NW,17th & K St NW / Farragut Square,Subscriber
438277,2017-03-06 12:31:00,2017-03-06 12:48:00,1044.83,Park Rd & Holmead Pl NW,17th & Corcoran St NW,Subscriber
1623323,2017-06-21 10:04:40,2017-06-21 10:20:24,943.725,Kennedy Center,15th & P St NW,Subscriber
687456,2017-04-04 06:41:58,2017-04-04 06:57:25,927.5139999999999,14th & Rhode Island Ave NW,Constitution Ave & 2nd St NW/DOL,Subscriber
1447105,2017-06-08 05:03:44,2017-06-08 05:11:59,495.594,10th St & Constitution Ave NW,5th & K St NW,Subscriber
159564,2017-01-29 15:30:00,2017-01-29 15:49:00,1101.468,Lee Hwy & N Scott St,Wilson Blvd & N Quincy St,Subscriber
853237,2017-04-16 12:30:01,2017-04-16 12:45:38,937.36,17th St & Independence Ave SW,Jefferson Memorial,Customer
1557699,2017-06-16 07:10:38,2017-06-16 08:14:37,3839.1240000000003,14th & G St NW,Henry Bacon Dr & Lincoln Memorial Circle NW,Customer
147833,2017-01-27 15:33:00,2017-01-27 15:38:00,358.19599999999997,15th & Euclid St  NW,17th & Corcoran St NW,Subscriber
325339,2017-02-20 17:35:00,2017-02-20 17:38:00,186.98,Smithsonian-National Mall / Jefferson Dr & 12th St SW,Jefferson Dr & 14th St SW,Customer
319755,2017-02-20 11:48:00,2017-02-20 11:54:00,344.656,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,Lincoln Memorial,Subscriber
989780,2017-04-29 05:11:49,2017-04-29 05:37:42,1552.1989999999998,3rd & Tingey St SE,Oklahoma Ave & D St NE,Customer
1331674,2017-05-30 04:02:25,2017-05-30 04:25:04,1358.8970000000002,8th & D St NW,Lincoln Park / 13th & East Capitol St NE ,Subscriber
242073,2017-02-10 07:25:00,2017-02-10 07:29:00,280.155,15th & East Capitol St NE,Eastern Market Metro / Pennsylvania Ave & 7th St SE,Subscriber
1146852,2017-05-14 05:52:38,2017-05-14 06:06:32,833.26,15th & F St NE,5th St & Massachusetts Ave NW,Subscriber
623218,2017-03-29 11:15:00,2017-03-29 11:18:00,187.22299999999998,14th & G St NW,Metro Center / 12th & G St NW,Subscriber
1080871,2017-05-07 08:35:26,2017-05-07 08:37:27,120.464,8th & F St NE,11th & H St NE,Subscriber
1688503,2017-06-26 07:57:42,2017-06-26 08:08:20,637.957,Wilson Blvd & Franklin Rd,Washington Blvd & Walter Reed Dr ,Subscriber
1742985,2017-06-30 06:15:15,2017-06-30 06:20:44,328.986,Georgia & New Hampshire Ave NW,Georgia Ave & Emerson St NW,Subscriber
441187,2017-03-06 17:46:00,2017-03-06 17:51:00,298.918,10th & K St NW,7th & F St NW/Portrait Gallery,Subscriber
50317,2017-01-12 07:34:00,2017-01-12 07:38:00,289.223,8th & F St NE,Columbus Circle / Union Station,Subscriber
602171,2017-03-27 15:03:00,2017-03-27 16:27:00,5033.365,Lincoln Memorial,17th St & Independence Ave SW,Customer
378815,2017-02-26 01:39:00,2017-02-26 01:42:00,183.65900000000002,11th & Kenyon St NW,Park Rd & Holmead Pl NW,Subscriber
